"event","experiment time","system time","system time text"
"START",0.000000000E0,1663937563.906,"2022-09-23 14:52:43.906 UTC+02:00"
"PAUSE",2.812821814E2,1663937845.188,"2022-09-23 14:57:25.188 UTC+02:00"
