"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.398985080E-1,-1.392745972E-2,-8.343362808E-2,-8.270573616E-1,8.313717723E-1
3.449343940E-1,-4.573345184E-3,2.536773682E-3,-7.985091209E-1,7.985262469E-1
3.499703310E-1,-2.448236942E-2,4.172372818E-2,-6.844720840E-1,6.861794880E-1
3.550062690E-1,-1.381862164E-2,-6.856250763E-2,-6.940402985E-1,6.975555230E-1
3.600422060E-1,1.969909668E-2,-4.363455772E-1,-8.502783775E-1,9.559073368E-1
3.650781440E-1,1.815915108E-2,-1.632866859E-1,-4.559144974E-1,4.846135837E-1
3.701140290E-1,-4.215824604E-2,-1.253600121E-1,-5.625438690E-2,1.437254549E-1
3.751499670E-1,-3.575134277E-2,-4.011199474E-1,2.074909210E-2,4.032442133E-1
3.801859040E-1,4.106307030E-2,-6.982922554E-1,1.007471085E-1,7.067165129E-1
3.852218420E-1,1.816601753E-1,-7.438716888E-1,1.227312088E-1,7.755052923E-1
3.902577790E-1,2.825702429E-1,-6.790721416E-1,1.113758087E-1,7.439015301E-1
3.952937170E-1,2.988246679E-1,-5.937056541E-1,1.973848343E-1,6.933565884E-1
4.003296020E-1,3.166028261E-1,-4.584412575E-1,2.974233627E-1,6.315587010E-1
4.053655400E-1,3.537770510E-1,-3.385987282E-1,4.781923294E-1,6.844524851E-1
4.104014770E-1,4.187513590E-1,-2.296593189E-1,5.006504059E-1,6.919154084E-1
4.154374150E-1,3.828634620E-1,-1.576693058E-1,4.783287048E-1,6.326471294E-1
4.204733520E-1,3.244093657E-1,-4.314422607E-3,3.790769577E-1,4.989583055E-1
4.255092370E-1,2.754994631E-1,2.293255329E-1,1.922035217E-1,4.067337556E-1
4.305451750E-1,1.851042509E-1,5.257391930E-1,9.140205383E-2,5.648182169E-1
4.355811120E-1,2.343845367E-2,7.329921722E-1,2.824878693E-2,7.339106755E-1
4.406170500E-1,-1.622413397E-1,8.194196224E-1,-5.476856232E-2,8.371202813E-1
4.456529870E-1,-3.684813976E-1,8.457503319E-1,-3.948116302E-2,9.233801636E-1
4.506888730E-1,-4.884998798E-1,9.284288883E-1,-5.500793457E-2,1.050541863E0
4.557248100E-1,-5.661606789E-1,1.032790184E0,-2.168378830E-1,1.197585966E0
4.607607480E-1,-5.983289480E-1,1.006288052E0,-3.077535629E-1,1.210506269E0
4.657966850E-1,-8.497049809E-1,9.210476875E-1,-2.762823105E-1,1.283222238E0
4.708326230E-1,-7.029106617E-1,9.482741356E-1,-1.354961395E-1,1.188135699E0
4.758685080E-1,-6.586654782E-1,8.573796749E-1,2.109432220E-2,1.081381103E0
4.809044460E-1,-5.621198416E-1,7.257244587E-1,1.009159088E-1,9.234926783E-1
4.859403830E-1,-4.131784439E-1,5.520668030E-1,2.111845016E-1,7.211747882E-1
4.909763210E-1,-2.457601428E-1,3.374876976E-1,4.959697723E-1,6.482916079E-1
4.960122580E-1,-5.609810352E-2,7.327175140E-2,8.066234589E-1,8.118849371E-1
5.010481440E-1,1.674935222E-1,-1.451163292E-1,9.296922684E-1,9.557408346E-1
5.060840810E-1,4.067827761E-1,-2.875130177E-1,7.842340469E-1,9.290635084E-1
5.111200190E-1,4.834297299E-1,-3.883502483E-1,7.332057953E-1,9.602660868E-1
5.161559560E-1,5.182804465E-1,-3.801977634E-1,8.991212845E-1,1.105252932E0
5.211918940E-1,7.287999988E-1,-1.895980835E-1,1.280265808E0,1.485320642E0
5.262278310E-1,8.408688307E-1,3.334283829E-2,1.590621948E0,1.799513911E0
5.312637170E-1,8.262711763E-1,2.159187794E-1,1.746032715E0,1.943701422E0
5.362996540E-1,8.038510680E-1,2.364232540E-1,1.831397057E0,2.013973106E0
5.413355920E-1,6.643646955E-1,2.213187218E-1,1.850024223E0,1.978118311E0
5.463715290E-1,4.567995369E-1,2.795000076E-1,1.793272972E0,1.871527190E0
5.514074670E-1,1.403264701E-1,4.496860504E-1,1.915890694E0,1.972953677E0
5.564433520E-1,-8.722975850E-2,7.656829357E-1,1.986458778E0,2.130703608E0
5.614792900E-1,1.053159535E-1,1.154643774E0,1.713958740E0,2.069286896E0
5.665152270E-1,8.827536702E-1,1.533470869E0,9.353895187E-1,2.001434611E0
5.715511650E-1,1.138120890E0,1.645331144E0,-3.095121384E-1,2.024408926E0
5.765871020E-1,2.490317822E0,1.665136576E0,-1.220108032E0,3.234660149E0
5.816230400E-1,4.191984653E0,1.628133774E0,-3.183667183E0,5.509926647E0
5.866589250E-1,8.625931740E0,1.685813427E0,-4.205481052E0,9.743445806E0
5.916948620E-1,7.888736248E0,2.262001753E0,-2.884568214E0,8.698824363E0
5.967308000E-1,6.382615089E0,2.278784752E0,-2.228927612E-2,6.777251075E0
6.017667370E-1,4.710365295E0,2.602010250E0,5.595216751E-1,5.410273844E0
6.068026750E-1,3.939451694E0,2.488582134E0,3.641595840E-1,4.673856319E0
6.118385600E-1,3.650260687E0,2.013681889E0,-2.953414917E-1,4.179299514E0
6.168744980E-1,3.570820570E0,1.489343166E0,-1.023378372E0,4.002025225E0
6.219104350E-1,3.451971531E0,1.101488113E0,-1.463453293E0,3.907822802E0
6.269463730E-1,3.286502600E0,8.421730995E-1,-1.710711956E0,3.799590802E0
6.319823100E-1,3.198605776E0,7.511467934E-1,-1.902274609E0,3.796570703E0
6.370182480E-1,3.138335228E0,7.230701447E-1,-2.053051949E0,3.819293225E0
6.420541330E-1,2.911028385E0,7.031822205E-1,-2.144487381E0,3.683392135E0
6.470900710E-1,2.553796053E0,6.703071594E-1,-2.224593163E0,3.452535403E0
6.521260080E-1,2.067772865E0,5.797514915E-1,-2.272170544E0,3.126428537E0
6.571619460E-1,1.554964542E0,4.536652565E-1,-2.173718929E0,2.710863493E0
6.621978830E-1,1.155294895E0,2.570018768E-1,-1.987752914E0,2.313421256E0
6.672337690E-1,8.821293116E-1,1.049041748E-5,-1.803261280E0,2.007461922E0
6.722697060E-1,7.383929491E-1,-2.620706558E-1,-1.656228065E0,1.832210845E0
6.773056440E-1,5.955425501E-1,-5.958070755E-1,-1.539399147E0,1.754823847E0
6.823415810E-1,2.875480652E-1,-9.319167137E-1,-1.386114120E0,1.694834802E0
6.873775190E-1,-1.272033453E-1,-1.294247150E0,-1.111238480E0,1.710586840E0
6.924134560E-1,-7.338930964E-1,-1.711120367E0,-8.583173752E-1,2.050180652E0
6.974493420E-1,-1.323039532E0,-2.098645687E0,-6.297483444E-1,2.559556661E0
7.024852790E-1,-1.936844587E0,-2.409277439E0,-4.942555428E-1,3.130538816E0
7.075212170E-1,-2.378905773E0,-2.541082144E0,-2.802138329E-1,3.492106947E0
7.125571540E-1,-2.760188341E0,-2.483148813E0,-3.358840942E-2,3.712922823E0
7.175930920E-1,-2.987592936E0,-2.262843370E0,3.852596283E-1,3.767571718E0
7.226290290E-1,-3.169161797E0,-1.945212841E0,9.553461075E-1,3.839287131E0
7.276649150E-1,-3.138904333E0,-1.666318417E0,1.508610725E0,3.860730993E0
7.327008520E-1,-3.044326305E0,-1.537775755E0,2.021199703E0,3.964583858E0
7.377367900E-1,-3.116875648E0,-1.411806583E0,2.529567242E0,4.255211166E0
7.427727270E-1,-3.388114929E0,-1.403477669E0,2.970622063E0,4.719498679E0
7.478086650E-1,-3.764188051E0,-1.420245647E0,3.509592533E0,5.338862157E0
7.528445500E-1,-4.087947845E0,-1.558010101E0,3.920742035E0,5.874600511E0
7.578804870E-1,-4.297493935E0,-1.747960567E0,4.333909988E0,6.348747597E0
7.629164250E-1,-4.307021618E0,-1.985869408E0,4.632981300E0,6.630130334E0
7.679523620E-1,-4.247693062E0,-2.305344582E0,4.795197487E0,6.808188373E0
7.729883000E-1,-4.152766228E0,-2.625611544E0,4.724329948E0,6.816054341E0
7.780242370E-1,-4.096002102E0,-2.844798088E0,4.569591522E0,6.763968958E0
7.830601230E-1,-4.053777695E0,-2.985272646E0,4.215317726E0,6.566115282E0
7.880960600E-1,-3.998901129E0,-3.042628050E0,3.708219528E0,6.244972999E0
7.931319980E-1,-3.899981499E0,-3.040945768E0,3.032877922E0,5.801340823E0
7.981679350E-1,-3.737758636E0,-2.999048233E0,2.337822914E0,5.332030186E0
8.032038730E-1,-3.559252501E0,-2.938185930E0,1.696906090E0,4.917388047E0
8.082397580E-1,-3.313172817E0,-2.841268539E0,1.123832226E0,4.506985678E0
8.132756960E-1,-3.164758205E0,-2.738776922E0,6.630172729E-1,4.237473945E0
8.183116330E-1,-3.127899170E0,-2.577715397E0,3.228015900E-1,4.066026408E0
8.233475710E-1,-3.087617874E0,-2.426789284E0,8.766078949E-2,3.928151573E0
8.283835080E-1,-2.972023964E0,-2.292601824E0,-3.082275391E-3,3.753526217E0
8.334194460E-1,-2.854925394E0,-2.131715298E0,-2.216243744E-2,3.563046490E0
8.384553830E-1,-2.700268745E0,-1.941590548E0,-7.978677750E-2,3.326798924E0
8.434912690E-1,-2.546082735E0,-1.681560993E0,-1.356301308E-1,3.054272450E0
8.485272060E-1,-2.489573240E0,-1.435056686E0,-1.352648735E-1,2.876744549E0
8.535631440E-1,-2.406654119E0,-1.166225910E0,-1.266412735E-1,2.677331682E0
8.585990810E-1,-2.229099512E0,-9.705352783E-1,-1.619048119E-1,2.436603482E0
8.636350190E-1,-2.017153263E0,-7.499976158E-1,-1.193699837E-1,2.155377671E0
8.686709560E-1,-1.829741836E0,-5.025753975E-1,2.871036530E-3,1.897510331E0
8.737068420E-1,-1.544294715E0,-3.261709213E-1,1.447682381E-1,1.584989426E0
8.787427790E-1,-1.272392988E0,-2.084760666E-1,2.631945610E-1,1.315947402E0
8.837787170E-1,-1.025384903E0,-1.395530701E-1,2.962436676E-1,1.076405857E0
8.888146540E-1,-8.168649673E-1,-1.664290428E-1,2.416625023E-1,8.679676066E-1
8.938505920E-1,-6.410837173E-1,-2.118554115E-1,2.183094025E-1,7.095985085E-1
8.988865290E-1,-4.776118994E-1,-2.014746666E-1,2.538199425E-1,5.771739174E-1
9.039224150E-1,-3.515734673E-1,-2.138457298E-1,2.782559395E-1,4.967497025E-1
9.089583520E-1,-2.076537609E-1,-2.319865227E-1,2.675671577E-1,4.105240736E-1
9.139942900E-1,-1.745191813E-1,-2.509636879E-1,2.408328056E-1,3.891531286E-1
9.190302270E-1,-1.663796902E-1,-3.253736496E-1,2.052655220E-1,4.191469285E-1
9.240661650E-1,-1.022465229E-1,-3.286795616E-1,1.537303925E-1,3.769849324E-1
9.291021020E-1,-4.230582714E-2,-2.707066536E-1,7.681083679E-2,2.845554075E-1
9.341380400E-1,6.116890907E-2,-1.708354950E-1,-2.536058426E-2,1.832199799E-1
9.391739250E-1,2.694554329E-1,-3.670644760E-2,-1.618118286E-1,3.164437730E-1
9.442098620E-1,5.429650545E-1,1.288042068E-1,-3.437147141E-1,6.553940637E-1
9.492458000E-1,7.567270994E-1,3.609085083E-1,-4.988694191E-1,9.755826729E-1
9.542817370E-1,8.654805422E-1,6.352281570E-1,-5.961608887E-1,1.227998040E0
9.593176750E-1,8.962724209E-1,9.345803261E-1,-6.095099449E-1,1.431169805E0
9.643536120E-1,8.735530376E-1,1.210947037E0,-4.772553444E-1,1.567565086E0
9.693894980E-1,7.954897881E-1,1.442678928E0,-3.046879768E-1,1.675398835E0
9.744254350E-1,7.361044884E-1,1.608171463E0,-1.701960564E-1,1.776803864E0
9.794613730E-1,6.829568148E-1,1.685865879E0,-8.018589020E-2,1.820715120E0
9.844973100E-1,6.996669769E-1,1.713777542E0,2.573251724E-2,1.851277803E0
9.895332480E-1,6.235175133E-1,1.727282524E0,1.766347885E-1,1.844851988E0
9.945691850E-1,5.878996849E-1,1.725785732E0,3.419437408E-1,1.854963060E0
9.996050710E-1,6.969376802E-1,1.710979462E0,4.508080482E-1,1.901683661E0
1.004641008E0,8.498526812E-1,1.694086075E0,5.683441162E-1,1.978684473E0
1.009676946E0,9.617034197E-1,1.686413288E0,7.613425255E-1,2.085307097E0
1.014712883E0,1.032004714E0,1.651646137E0,9.531393051E-1,2.168281169E0
1.019748821E0,1.136271238E0,1.563334942E0,1.117429733E0,2.232437609E0
1.024784758E0,1.232318640E0,1.469013691E0,1.190078735E0,2.256744968E0
1.029820644E0,1.289423585E0,1.339813709E0,1.183619976E0,2.204239144E0
1.034856581E0,1.262521386E0,1.271204472E0,1.100817680E0,2.102788773E0
1.039892519E0,1.170636773E0,1.144032955E0,9.515085220E-1,1.893296153E0
1.044928456E0,9.868643284E-1,1.008928299E0,7.074632645E-1,1.578715233E0
1.049964394E0,7.438625097E-1,8.068308830E-1,4.167356491E-1,1.173872271E0
1.055000331E0,5.543555021E-1,5.886716843E-1,7.480716705E-2,8.120594109E-1
1.060036269E0,3.616181612E-1,3.574986458E-1,-2.514486313E-1,5.672736469E-1
1.065072206E0,1.622291803E-1,1.092967987E-1,-5.123839378E-1,5.484536415E-1
1.070108092E0,-6.114959717E-2,-1.196203232E-1,-6.918950081E-1,7.048169955E-1
1.075144029E0,-2.801584005E-1,-3.501033783E-1,-8.599290848E-1,9.698139697E-1
1.080179967E0,-4.996629953E-1,-5.338816643E-1,-9.884166718E-1,1.229495936E0
1.085215904E0,-6.721218824E-1,-6.848073006E-1,-1.128074646E0,1.480966330E0
1.090251842E0,-7.384742498E-1,-8.167634010E-1,-1.288766861E0,1.695100791E0
1.095287779E0,-7.684986591E-1,-8.816676140E-1,-1.365922451E0,1.798241394E0
1.100323665E0,-8.029472232E-1,-9.223513603E-1,-1.374508858E0,1.839763810E0
1.105359602E0,-8.419394493E-1,-9.268112183E-1,-1.336418629E0,1.831353549E0
1.110395540E0,-8.714081645E-1,-9.427223206E-1,-1.299577713E0,1.826740210E0
1.115431477E0,-8.274540305E-1,-9.343280792E-1,-1.232880116E0,1.754321097E0
1.120467415E0,-7.555328608E-1,-8.922457695E-1,-1.153115273E0,1.642134967E0
1.125503352E0,-6.714878678E-1,-8.001961708E-1,-9.244813919E-1,1.394946491E0
1.130539290E0,-5.765366554E-1,-6.564211845E-1,-6.190690994E-1,1.070761335E0
1.135575227E0,-4.437029362E-1,-5.234708786E-1,-3.610138893E-1,7.753870547E-1
1.140611112E0,-2.960808277E-1,-4.278669357E-1,-5.466413498E-2,5.231846126E-1
1.145647050E0,-2.593960762E-1,-3.960208893E-1,3.094501495E-1,5.655778144E-1
1.150682987E0,-2.703859806E-1,-3.899016380E-1,7.216653824E-1,8.636740068E-1
1.155718925E0,-3.539793491E-1,-3.907151222E-1,1.160367012E0,1.274523946E0
1.160754862E0,-3.843067884E-1,-4.083533287E-1,1.606282234E0,1.701348514E0
1.165790748E0,-3.669992685E-1,-4.072489738E-1,2.018637657E0,2.091754809E0
1.170826737E0,-3.383806944E-1,-4.188089371E-1,2.342522621E0,2.403604512E0
1.175862623E0,-1.632795334E-1,-3.955016136E-1,2.527991295E0,2.563946513E0
1.180898560E0,2.124220133E-1,-3.849983215E-1,2.474925995E0,2.513683651E0
1.185934498E0,6.709903479E-1,-2.391457558E-1,2.286176682E0,2.394581917E0
1.190970435E0,1.166187763E0,8.972692490E-2,1.949740410E0,2.273660592E0
1.196006373E0,1.622121334E0,4.989848137E-1,1.501651764E0,2.266102709E0
1.201042310E0,1.909353495E0,8.982777596E-1,9.710741043E-1,2.322825567E0
1.206078196E0,2.010143518E0,1.257149220E0,3.682460785E-1,2.399313714E0
1.211114133E0,1.975115657E0,1.487889767E0,-2.606134415E-1,2.486527133E0
1.216150071E0,1.829859257E0,1.655703545E0,-9.051222801E-1,2.628494906E0
1.221186008E0,1.578009963E0,1.718129158E0,-1.526333332E0,2.787790646E0
1.226221946E0,1.206848145E0,1.721064091E0,-2.021297455E0,2.916194001E0
1.231257883E0,7.569190264E-1,1.660073280E0,-2.390216351E0,3.006975875E0
1.236293821E0,3.908613920E-1,1.578394890E0,-2.628698349E0,3.090980114E0
1.241329758E0,-7.063984871E-3,1.480762005E0,-2.670494080E0,3.053562615E0
1.246365644E0,-3.770714402E-1,1.490958691E0,-2.473508358E0,2.912624982E0
1.251401581E0,-6.253625154E-1,1.451038361E0,-2.172379494E0,2.686228446E0
1.256437519E0,-7.204178572E-1,1.363198280E0,-1.805638790E0,2.374372102E0
1.261473456E0,-6.665729284E-1,1.160370350E0,-1.468786716E0,1.986985968E0
1.266509394E0,-4.729424715E-1,9.474596977E-1,-1.144871235E0,1.559514221E0
1.271545331E0,-2.029388249E-1,6.954526901E-1,-7.335977554E-1,1.031020988E0
1.276581269E0,4.722344875E-2,4.637994766E-1,-2.996616364E-1,5.541995173E-1
1.281617154E0,2.416797876E-1,2.856054306E-1,1.329813004E-1,3.970687698E-1
1.286653092E0,3.326614499E-1,1.412186623E-1,5.263185501E-1,6.384493457E-1
1.291689029E0,4.299055636E-1,2.797174454E-2,8.972625732E-1,9.953297632E-1
1.296724967E0,5.640616417E-1,-8.044719696E-2,1.224473953E0,1.350545723E0
1.301760904E0,7.729471326E-1,-2.149181366E-1,1.505799294E0,1.706185391E0
1.306796842E0,1.125195146E0,-3.772544861E-1,1.653195381E0,2.035052833E0
1.311832779E0,1.274519563E0,-5.075716972E-1,1.619814873E0,2.122693894E0
