Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Velocity x (m/s),Velocity y (m/s),Velocity z (m/s),Position x (m),Position y (m),Position z (m)
120.000136,-0.012791997280440282,0.01651578077951258,0.011734997534868712,0.5515021693583649,0.0,0.0,0.0,0.0,0.0,0.0
120.005172,-0.012943811706118347,0.016742040795213648,0.011862100340276061,0.5525133273705489,-6.44204983043489E-5,8.317347200569203E-5,5.909744758564621E-5,-1.6221081473048056E-7,2.0943080251050042E-7,1.4880737302077647E-7
120.010208,-0.01308657710982465,0.016955385608577175,0.011983311763737532,0.5534890821268912,-1.2960553405641316E-4,1.6748638945045556E-4,1.1883498489932435E-4,-6.507683642152711E-7,8.405923336575861E-7,5.968412380182915E-7
120.0152441,-0.013220256122387627,0.017155699834315304,0.012097669116950472,0.5544288023792383,-1.9551084503917622E-4,2.528754069137789E-4,1.7918414127266017E-4,-1.469427662596611E-6,1.8990843549921472E-6,1.347268298675374E-6
120.02028,-0.01334461297875098,0.01734261762852843,0.0122044009699907,0.5553318117733461,-2.6208673284585206E-4,3.3926979570933464E-4,2.401067931786598E-4,-2.6216354838312486E-6,3.3900763679357616E-6,2.403021907076187E-6
120.025316,-0.013459258401222541,0.01751547855230783,0.012302967289131375,0.5561974503403083,-3.292902038068959E-4,4.266072180866738E-4,3.015681564635822E-4,-4.110722610324062E-6,5.318554688675656E-6,3.766959430276446E-6
120.0303521,-0.013563756500968704,0.01767332029404135,0.01239310598713275,0.5570251116528675,-3.9707237504126714E-4,5.14816919623918E-4,3.6352713002835336E-4,-5.939739901991989E-6,7.689107738636918E-6,5.441702616426832E-6
120.0353881,-0.013657795389058813,0.01781491216233947,0.012474810476210945,0.5578142655031832,-4.653794527802003E-4,6.038197606247816E-4,4.2593881177960393E-4,-8.111393604448186E-6,1.0505834899505402E-5,7.429577857900862E-6
120.0404241,-0.01374139263310508,0.017938838893305137,0.01254825924716739,0.5585644866493884,-5.341601103593615E-4,6.935356582741419E-4,4.887619573376754E-4,-1.0628234224428517E-5,1.3772575844286291E-5,9.73279439453352E-6
120.0454601,-0.013815001740811014,0.018043626797752222,0.012613756417304027,0.5592754474961577,-6.033617636597341E-4,7.83875650940899E-4,5.519549909064611E-4,-1.3492514303210897E-5,1.7492697520892748E-5,1.2353319670214356E-5
